id,name,k1,k2,k3,avg_test_ll,avg_lp.min
5xksauf6,worthy-sweep-274,64,2,16,-19.83282470703125,-34.567569732666016
f6g5os8z,fresh-sweep-275,64,2,24,-18.850505828857425,-34.821311950683594
ayvp8rk1,efficient-sweep-276,64,2,36,-18.322046279907227,-34.469730377197266
rjgpw232,golden-sweep-277,64,2,48,-18.398622512817383,-34.636741638183594
u2dgiqde,jumping-sweep-278,64,2,72,-17.995141983032227,-34.45065689086914
72z9jmwc,easy-sweep-279,64,2,90,-17.254011154174805,-34.855377197265625
zvgn2di4,major-sweep-280,64,4,2,-28.89287376403809,-34.529239654541016
4v0x6a31,genial-sweep-281,64,4,4,-23.427734375,-34.8099479675293
4gaf4xyz,pious-sweep-282,64,4,8,-20.99862289428711,-34.83067321777344
zbsi1ndq,iconic-sweep-283,64,4,16,-19.706796646118164,-34.35362243652344
7ziu6t7o,charmed-sweep-284,64,4,24,-18.838191986083984,-34.50261306762695
emtj011c,sage-sweep-285,64,4,36,-17.613298416137695,-34.68500518798828
cr9y8fsg,glad-sweep-286,64,4,48,-17.38095474243164,-34.753055572509766
bm4angl4,dashing-sweep-288,64,4,90,-17.764650344848633,-34.316463470458984
izshiibx,mild-sweep-287,64,4,72,-17.581703186035156,-34.75456237792969
e94mbj7v,effortless-sweep-289,64,6,2,-27.78431510925293,-34.89603042602539
nast6xl7,flowing-sweep-290,64,6,4,-24.45229721069336,-34.844425201416016
3odqqfzv,clear-sweep-291,64,6,8,-22.1896915435791,-34.39065170288086
qvr8wt55,skilled-sweep-292,64,6,16,-19.801328659057617,-34.32510757446289
5fv5bu3l,unique-sweep-293,64,6,24,-18.794599533081055,-34.41506576538086
ppcnf5wl,blooming-sweep-294,64,6,36,-18.574132919311523,-34.319671630859375
i7cmrnun,upbeat-sweep-295,64,6,48,-18.334272384643555,-34.581787109375
6tamxegx,smooth-sweep-296,64,6,72,-18.08646011352539,-34.48807144165039
dxdu15mv,northern-sweep-297,64,6,90,-18.20755195617676,-34.496063232421875
z77vlnsw,misunderstood-sweep-298,64,8,2,-28.079191207885746,-34.624900817871094
ppmiawtl,fearless-sweep-299,64,8,4,-23.378402709960938,-34.67959976196289
1cyrawlj,stellar-sweep-300,64,8,8,-21.707399368286133,-34.333587646484375
079u3ytc,fragrant-sweep-301,64,8,16,-19.39293098449707,-34.4188232421875
